Year,Total_3PA,Avg_3P_Pct,Decade
1980,5522,,1980s
1981,4161,,1980s
1982,4655,,1980s
1983,4592,,1980s
1984,4599,,1980s
1985,6008,,1980s
1986,6677,,1980s
1987,9177,,1980s
1988,10735,,1980s
1989,14496,,1980s
1990,15361,,1990s
1991,16587,,1990s
1992,17433,,1990s
1993,20384,,1990s
1994,23031,,1990s
1995,35874,,1990s
1996,41535,,1990s
1997,44011,,1990s
1998,34026,,1990s
1999,20261,,1990s
2000,33792,,2000s
2001,34290,,2000s
2002,37517,,2000s
2003,37101,,2000s
2004,39708,,2000s
2005,43906,,2000s
2006,42898,,2000s
2007,44269,,2000s
2008,48484,,2000s
2009,50535,,2000s
2010,49184,,2010s
2011,52915,,2010s
2012,38277,,2010s
2013,52958,,2010s
2014,58438,,2010s
2015,63420,,2010s
2016,63889,,2010s
2017,73136,,2010s
2017,123551,,2010s
2018,78206,0.362,2010s
2019,82015,0.354,2010s
2020,78744,0.358,2020s
