Year,Total_3PA,Avg_3P_Pct,Decade
1980,5522,0.198,1980s
1981,4161,0.153069343,1980s
1982,4655,0.171106164,1980s
1983,4592,0.138079618,1980s
1984,4599,0.176389961,1980s
1985,6008,0.163017794,1980s
1986,6677,0.173252525,1980s
1987,9177,0.169036304,1980s
1988,10735,0.189398827,1980s
1989,14496,0.198823362,1980s
1990,15361,0.213845333,1990s
1991,16587,0.208386921,1990s
1992,17433,0.214506702,1990s
1993,20384,0.215684932,1990s
1994,23031,0.235760638,1990s
1995,35874,0.271131783,1990s
1996,41535,0.278496629,1990s
1997,44011,0.283967462,1990s
1998,34026,0.247659955,1990s
1999,20261,0.254166667,1990s
2000,33792,0.264681013,2000s
2001,34290,0.259759259,2000s
2002,37517,0.263797531,2000s
2003,37101,0.265406736,2000s
2004,39708,0.267272527,2000s
2005,43906,0.269444444,2000s
2006,42898,0.272223982,2000s
2007,44269,0.274156627,2000s
2008,48484,0.268647182,2000s
2009,50535,0.292552083,2000s
2010,49184,0.268556701,2010s
2011,52915,0.282237354,2010s
2012,38277,0.271289823,2010s
2013,52958,0.282299163,2010s
2014,58438,0.289735922,2010s
2015,63420,0.286454386,2010s
2016,63889,0.29764751,2010s
2017,123551,0.301147541,2010s
2018,135189,0.35,2010s
2019,133465,0.356,2010s
2020,90080,0.362,2020s
