Game,Minutes,ScoreDiff,LeadingTeam
0040500303,0.0,15,Team A
0040500303,0.13333333333333286,15,Team A
0040500303,0.7666666666666657,12,Team A
0040500303,0.7666666666666657,13,Team A
0040500303,1.8833333333333329,9,Team A
0040500303,1.8833333333333329,10,Team A
0040500303,2.2333333333333343,8,Team A
0040500303,2.450000000000003,10,Team A
0040500303,2.450000000000003,11,Team A
0040500303,3.049999999999997,9,Team A
0040500303,3.2166666666666686,10,Team A
0040500303,3.633333333333333,7,Team A
0040500303,3.633333333333333,8,Team A
0040500303,3.81666666666667,7,Team A
0040500303,3.81666666666667,6,Team A
0040500303,4.416666666666664,9,Team A
0040500303,4.416666666666664,8,Team A
0040500303,4.450000000000003,9,Team A
0040500303,4.450000000000003,10,Team A
0040500303,4.899999999999999,8,Team A
0040500303,5.68333333333333,5,Team A
0040500303,5.68333333333333,6,Team A
0040500303,5.983333333333334,5,Team A
0040500303,5.983333333333334,4,Team A
0040500303,6.383333333333333,6,Team A
0040500303,6.899999999999999,3,Team A
0040500303,6.899999999999999,4,Team A
0040500303,7.700000000000003,1,Team A
0040500303,8.200000000000003,4,Team A
0040500303,9.350000000000001,7,Team A
0040500303,10.666666666666664,9,Team A
0040500303,11.18333333333333,10,Team A
0040500303,12.0,12,Team A
0040500303,12.0,12,Team A
0040500303,12.283333333333331,12,Team A
0040500303,12.666666666666664,10,Team A
0040500303,13.783333333333331,12,Team A
0040500303,14.0,11,Team A
0040500303,14.0,10,Team A
0040500303,14.31666666666667,12,Team A
0040500303,14.93333333333333,10,Team A
0040500303,15.700000000000003,8,Team A
0040500303,16.183333333333334,11,Team A
0040500303,16.183333333333334,10,Team A
0040500303,18.383333333333333,11,Team A
0040500303,18.383333333333333,12,Team A
0040500303,19.433333333333334,10,Team A
0040500303,19.7,11,Team A
0040500303,19.7,12,Team A
0040500303,19.95,10,Team A
0040500303,20.2,12,Team A
0040500303,20.516666666666666,10,Team A
0040500303,20.883333333333333,13,Team A
0040500303,21.25,10,Team A
0040500303,21.6,8,Team A
0040500303,21.833333333333332,10,Team A
0040500303,22.066666666666666,9,Team A
0040500303,22.066666666666666,8,Team A
0040500303,22.4,10,Team A
0040500303,22.716666666666665,8,Team A
0040500303,23.416666666666668,10,Team A
0040500303,23.7,9,Team A
0040500303,23.7,8,Team A
0040500303,24.0,11,Team A
0040500303,24.0,11,Team A
0040500303,24.05,11,Team A
0040500303,24.866666666666667,9,Team A
0040500303,25.416666666666668,7,Team A
0040500303,26.233333333333334,8,Team A
0040500303,26.8,6,Team A
0040500303,27.616666666666667,4,Team A
0040500303,28.15,6,Team A
0040500303,28.666666666666668,7,Team A
0040500303,29.55,8,Team A
0040500303,30.5,5,Team A
0040500303,31.183333333333334,8,Team A
0040500303,32.083333333333336,10,Team A
0040500303,32.8,8,Team A
0040500303,33.25,6,Team A
0040500303,33.56666666666666,4,Team A
0040500303,33.983333333333334,6,Team A
0040500303,34.61666666666667,4,Team A
0040500303,35.0,6,Team A
0040500303,35.35,4,Team A
0040500303,36.0,2,Team A
0040500303,36.0,2,Team A
0040500303,36.583333333333336,2,Team A
0040500303,36.766666666666666,4,Team A
0040500303,36.766666666666666,5,Team A
0040500303,36.96666666666667,2,Team A
0040500303,37.38333333333333,4,Team A
0040500303,37.833333333333336,3,Team A
0040500303,37.833333333333336,2,Team A
0040500303,38.65,5,Team A
0040500303,39.55,3,Team A
0040500303,39.833333333333336,5,Team A
0040500303,40.266666666666666,3,Team A
0040500303,40.983333333333334,4,Team A
0040500303,41.3,2,Team A
0040500303,41.7,4,Team A
0040500303,42.2,2,Team A
0040500303,42.96666666666667,4,Team A
0040500303,43.233333333333334,6,Team A
0040500303,43.63333333333333,4,Team A
0040500303,44.18333333333333,2,Team A
0040500303,44.983333333333334,1,Team A
0040500303,45.583333333333336,-1,Team B
0040500303,45.88333333333333,-3,Team B
0040500303,46.28333333333333,0,Tied
0040500303,46.28333333333333,-1,Team B
0040500303,46.45,1,Team A
0040500303,47.416666666666664,-1,Team B
0040500303,47.75,2,Team A
0041500407,0.0,-4,Team B
0041500407,0.1666666666666643,-4,Team B
0041500407,0.8833333333333329,-3,Team B
0041500407,4.649999999999999,0,Tied
0041500407,4.883333333333333,-2,Team B
0041500407,5.399999999999999,3,Team A
0041500407,5.399999999999999,2,Team A
0041500407,5.399999999999999,1,Team A
0041500407,5.616666666666667,4,Team A
0041500407,6.299999999999997,2,Team A
0041500407,6.950000000000003,0,Tied
0041500407,7.25,-3,Team B
0041500407,8.716666666666669,-1,Team B
0041500407,9.083333333333336,-3,Team B
0041500407,9.93333333333333,-2,Team B
