player,team,height,weight
A.C. Green,MIA,205.74,102.0582
A.J. Bramlett,CLE,208.28,102.965384
A.J. Guyton,GSW,185.42,81.64656
A.J. Lawson,DAL,198.12,81.19296800000001
AJ Green,MIL,195.58,86.18248
AJ Griffin,ATL,198.12,99.79024
AJ Hammons,DAL,213.36,117.93392
AJ Price,CLE,187.96,88.45044
Aaron Brooks,MIN,182.88,73.028312
Aaron Gordon,DEN,203.2,106.59412
Aaron Gray,SAC,213.36,122.46984
Aaron Harrison,DAL,198.12,95.25432
Aaron Henry,PHI,195.58,95.25432
Aaron Holiday,ATL,182.88,83.91452
Aaron Jackson,HOU,190.5,83.007336
Aaron McKie,LAL,195.58,94.800728
Aaron Miles,GSW,185.42,86.18248
Aaron Nesmith,IND,195.58,97.52228
Aaron Wiggins,OKC,195.58,86.18248
Aaron Williams,LAC,205.74,106.59412
Abdel Nader,PHX,195.58,102.0582
Acie Earl,MIL,210.82,108.86208
Acie Law,GSW,190.5,91.625584
Adam Harrington,DEN,195.58,90.7184
Adam Keefe,GSW,205.74,104.32616
Adam Mokoka,CHI,193.04,86.18248
Adam Morrison,LAL,203.2,92.98636
Ade Murkey,SAC,195.58,90.7184
Admiral Schofield,ORL,195.58,109.315672
Adonal Foyle,ORL,208.28,122.46984
Adonis Jordan,MIL,180.34,77.11064
Adonis Thomas,PHI,200.66,108.86208
Adreian Payne,ORL,208.28,107.501304
Adrian Caldwell,DAL,203.2,120.20188
Adrian Griffin,SEA,195.58,104.32616
Ahmad Caver,IND,187.96,78.92500799999999
Al Harrington,WAS,205.74,111.13004
Al Horford,BOS,205.74,108.86208
Al Jefferson,IND,208.28,127.00576
Al Thornton,GSW,203.2,106.59412
Al-Farouq Aminu,CHI,203.2,99.79024
Alan Anderson,LAC,198.12,99.79024
Alan Henderson,PHI,205.74,108.86208
Alan Williams,BKN,203.2,120.20188
Alando Tucker,MIN,198.12,92.98636
Alec Burks,DET,198.12,97.068688
Alec Peters,PHX,205.74,106.59412
Aleem Ford,ORL,203.2,99.79024
Alekesej Pokusevski,OKC,213.36,86.18248
Aleksandar Djordjevic,POR,187.96,89.811216
Aleksandar Radojevic,UTA,220.98,113.398
Aleksej Pokusevski,OKC,213.36,95.25432
Alen Smailagic,GSW,208.28,97.52228
Alex Abrines,OKC,198.12,90.7184
Alex Acker,LAC,195.58,83.91452
Alex Caruso,CHI,195.58,84.368112
Alex Garcia,NOH,190.5,88.45044
Alex Kirk,CLE,213.36,111.13004
Alex Len,SAC,218.44,113.398
Alex Poythress,ATL,205.74,106.59412
Alex Scales,SAS,193.04,88.45044
Alex Stepheson,MEM,208.28,122.46984
Alexander Johnson,MIA,205.74,104.32616
Alexey Shved,NYK,198.12,84.821704
Alexis Ajinca,NOP,218.44,112.490816
