FIPS,State,Players,Population,Players_per_100k,TopPlayers
1,Alabama,80,5157699,1.5510792700388294,"Charles Barkley* (23,757 pts) • Jeff Malone (17,231 pts) • John Drew (15,291 pts)"
2,Alaska,1,740133,0.1351108516982758,"Mario Chalmers (5,236 pts)"
4,Arizona,13,7582384,0.1714500347120378,"Sean Elliott (10,544 pts) • Jerryd Bayless (4,393 pts) • Steve Colter (3,319 pts)"
5,Arkansas,47,3088354,1.5218462650330888,"Joe Johnson (19,563 pts) • Scottie Pippen* (18,940 pts) • Glen Rice (18,336 pts)"
6,California,374,39431263,0.948485976723596,"Paul Pierce (26,341 pts) • Reggie Miller* (25,279 pts) • Ray Allen (24,505 pts)"
8,Colorado,17,5957493,0.285354930337308,"Chauncey Billups (15,802 pts) • Chuck Williams (6,894 pts) • Charles Williams (6,020 pts)"
9,Connecticut,33,3675069,0.8979423243481959,"Calvin Murphy* (17,949 pts) • Mike Gminski (10,953 pts) • Michael Adams (9,621 pts)"
10,Delaware,7,1051917,0.665451741914999,"Walt Hazzard (9,087 pts) • Joey Graham (2,239 pts) • A.J. English (1,502 pts)"
11,District of Columbia,69,702250,9.825560697757208,"Adrian Dantley* (23,177 pts) • Elgin Baylor* (23,149 pts) • Dave Bing* (18,327 pts)"
12,Florida,100,23372215,0.4278584635645359,"Artis Gilmore* (24,941 pts) • Vince Carter (24,164 pts) • David Robinson* (20,790 pts)"
13,Georgia,120,11180878,1.0732609728860292,"Dale Ellis (19,004 pts) • World B. Free (17,955 pts) • Dwight Howard (16,019 pts)"
15,Hawaii,2,1446146,0.1382986226840167,"Cedric Ceballos (8,693 pts) • Red Rocha (6,362 pts)"
16,Idaho,4,2001619,0.1998382309520443,"Luke Ridnour (7,740 pts) • Charlie Black (1,245 pts) • Steve Hayes (545 pts)"
17,Illinois,227,12710158,1.7859730775966751,"Dan Issel* (27,482 pts) • Dwyane Wade (20,722 pts) • Terry Cummings (19,460 pts)"
18,Indiana,124,6924275,1.790801203014034,"Larry Bird* (21,791 pts) • George McGinnis (17,009 pts) • Zach Randolph (17,000 pts)"
19,Iowa,20,3241488,0.6170005873845592,"Kirk Hinrich (9,594 pts) • Raef LaFrentz (5,690 pts) • Nick Collison (5,304 pts)"
20,Kansas,33,2970606,1.110884445799948,"Alvan Adams (13,910 pts) • Scott Wedman (11,916 pts) • Lucius Allen (9,407 pts)"
21,Kentucky,96,4588372,2.0922453541256028,"Cliff Hagan* (14,870 pts) • Allan Houston (14,551 pts) • Dave Cowens* (13,516 pts)"
22,Louisiana,110,4597740,2.392479783545829,"Karl Malone* (36,928 pts) • Elvin Hayes* (27,313 pts) • Robert Parish* (23,334 pts)"
23,Maine,1,1405012,0.0711737693343544,"Jeff Turner (3,697 pts)"
24,Maryland,63,6263220,1.0058723787444797,"Sam Cassell (15,635 pts) • Rudy Gay (13,725 pts) • Steve Francis (10,446 pts)"
25,Massachusetts,40,7136171,0.5605246847363944,"Bill Laimbeer (13,790 pts) • Dana Barros (8,901 pts) • Vinny Del Negro (7,038 pts)"
26,Michigan,141,10140459,1.3904696030031776,"George Gervin* (26,595 pts) • Magic Johnson* (17,707 pts) • Chris Webber (17,182 pts)"
