PLAYER_NAME,LOC_X,LOC_Y,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_DISTANCE,TEAM_NAME,SEASON
LeBron James,122,149,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-60,165,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-71,17,1,2PT Field Goal,7,Miami Heat,2012-13 Season
LeBron James,-8,9,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-75,165,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,0,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-86,26,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-13,115,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-27,26,0,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,12,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-191,159,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,237,39,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,114,225,1,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,81,208,1,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-152,162,1,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,-210,134,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-22,6,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,11,10,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-162,37,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,-125,150,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,-28,40,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,71,234,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-14,53,1,2PT Field Goal,5,Miami Heat,2012-13 Season
LeBron James,-118,98,1,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,151,23,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-19,1,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,11,39,0,2PT Field Goal,4,Miami Heat,2012-13 Season
LeBron James,63,53,0,2PT Field Goal,8,Miami Heat,2012-13 Season
LeBron James,-28,12,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,152,20,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,236,45,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,211,124,0,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,-10,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,77,186,0,2PT Field Goal,20,Miami Heat,2012-13 Season
LeBron James,84,146,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,174,52,1,2PT Field Goal,18,Miami Heat,2012-13 Season
LeBron James,12,4,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-109,135,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,-73,91,1,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,8,-1,0,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,7,4,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,225,4,0,3PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,140,142,1,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,4,11,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,184,78,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,80,153,0,2PT Field Goal,17,Miami Heat,2012-13 Season
LeBron James,20,33,1,2PT Field Goal,3,Miami Heat,2012-13 Season
LeBron James,-11,17,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-76,142,0,2PT Field Goal,16,Miami Heat,2012-13 Season
LeBron James,18,6,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-13,7,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-19,12,1,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-10,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-15,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-11,67,1,2PT Field Goal,6,Miami Heat,2012-13 Season
LeBron James,21,124,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,-103,112,0,2PT Field Goal,15,Miami Heat,2012-13 Season
LeBron James,-169,142,0,2PT Field Goal,22,Miami Heat,2012-13 Season
LeBron James,4,7,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-111,55,0,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,69,239,1,3PT Field Goal,24,Miami Heat,2012-13 Season
LeBron James,9,1,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-5,14,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,-68,178,0,2PT Field Goal,19,Miami Heat,2012-13 Season
LeBron James,231,7,1,3PT Field Goal,23,Miami Heat,2012-13 Season
LeBron James,-183,192,0,3PT Field Goal,26,Miami Heat,2012-13 Season
LeBron James,-4,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,-8,11,1,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,230,9,1,3PT Field Goal,23,Miami Heat,2012-13 Season
LeBron James,21,8,0,2PT Field Goal,2,Miami Heat,2012-13 Season
LeBron James,-223,124,0,3PT Field Goal,25,Miami Heat,2012-13 Season
LeBron James,-2,9,1,2PT Field Goal,0,Miami Heat,2012-13 Season
LeBron James,43,112,0,2PT Field Goal,11,Miami Heat,2012-13 Season
LeBron James,-103,74,1,2PT Field Goal,12,Miami Heat,2012-13 Season
LeBron James,4,12,0,2PT Field Goal,1,Miami Heat,2012-13 Season
LeBron James,2,12,1,2PT Field Goal,1,Miami Heat,2012-13 Season
