Player,Attribute,Value
Wilt Chamberlain*,2P,0.8143250199698233
Kareem Abdul-Jabbar*,2P,1.0
Karl Malone*,2P,0.7876098340285789
Kevin Garnett,2P,0.5240081654388924
Tim Duncan,2P,0.5046596254548681
Hakeem Olajuwon*,2P,0.5462856128516909
Jason Kidd,2P,0.0
Elvin Hayes*,2P,0.5682080411822135
Moses Malone*,2P,0.46569628117511314
Shaquille O'Neal*,2P,0.6293600781041981
Bill Russell*,2P,0.09922783349605041
John Stockton*,2P,0.1442265021744919
Robert Parish*,2P,0.44776781752019174
Walt Bellamy*,2P,0.4396911333984202
LeBron James,2P,0.3893671784858436
Eddie Johnson,2P,0.6547439424869086
Michael Jordan*,2P,0.625011094346321
Charles Barkley*,2P,0.29537587645335933
Kobe Bryant,2P,0.4724416437383509
Patrick Ewing*,2P,0.453891896689447
Wilt Chamberlain*,3P,0.0
Kareem Abdul-Jabbar*,3P,0.00046125461254612545
Karl Malone*,3P,0.03920664206642066
Kevin Garnett,3P,0.08071955719557196
Tim Duncan,3P,0.013837638376383764
Hakeem Olajuwon*,3P,0.011531365313653136
Jason Kidd,3P,1.0
Elvin Hayes*,3P,0.0023062730627306273
Moses Malone*,3P,0.0036900369003690036
Shaquille O'Neal*,3P,0.00046125461254612545
Bill Russell*,3P,0.0
John Stockton*,3P,0.389760147601476
Robert Parish*,3P,0.0
Walt Bellamy*,3P,0.0
LeBron James,3P,0.676660516605166
Eddie Johnson,3P,0.3611623616236162
Michael Jordan*,3P,0.2679889298892989
Charles Barkley*,3P,0.2481549815498155
Kobe Bryant,3P,0.8427121771217712
Patrick Ewing*,3P,0.008763837638376383
Wilt Chamberlain*,AST,0.21607643129085558
Kareem Abdul-Jabbar*,AST,0.27117304791322466
Karl Malone*,AST,0.2415774728826952
Kevin Garnett,AST,0.2612599669563968
Tim Duncan,AST,0.16809137274621078
Hakeem Olajuwon*,AST,0.08426118813303643
Jason Kidd,AST,0.8266647510954673
Elvin Hayes*,AST,0.03685080094820775
Moses Malone*,AST,0.0
Shaquille O'Neal*,AST,0.08864305725163421
Bill Russell*,AST,0.15911213274908415
John Stockton*,AST,1.0
Robert Parish*,AST,0.021191006393218886
Walt Bellamy*,AST,0.08713454493211695
LeBron James,AST,0.40054593779182535
Eddie Johnson,AST,0.33022053013432945
Michael Jordan*,AST,0.26923353207384526
Charles Barkley*,AST,0.16737303354644062
Kobe Bryant,AST,0.31757776021837514
Patrick Ewing*,AST,0.023705193592414325
Wilt Chamberlain*,TRB,1.0
Kareem Abdul-Jabbar*,TRB,0.6214146477304372
Karl Malone*,TRB,0.5066833751044277
Kevin Garnett,TRB,0.5069154367399982
Tim Duncan,TRB,0.5123920913394597
Hakeem Olajuwon*,TRB,0.4500603360252483
Jason Kidd,TRB,0.2563352826510721
Elvin Hayes*,TRB,0.5675299359509886
Moses Malone*,TRB,0.6141743247006405
Shaquille O'Neal*,TRB,0.4456511649494106
Bill Russell*,TRB,0.815418175067298
John Stockton*,TRB,0.0
Robert Parish*,TRB,0.4949410563445651
Walt Bellamy*,TRB,0.615056158915808
LeBron James,TRB,0.16968346792908193
Eddie Johnson,TRB,0.13148612271419288
Michael Jordan*,TRB,0.1216467093660076
Charles Barkley*,TRB,0.3942727188341224
Kobe Bryant,TRB,0.13905133203378814
Patrick Ewing*,TRB,0.3506915436739998
Wilt Chamberlain*,BLK,0.0
Kareem Abdul-Jabbar*,BLK,0.8326370757180156
Karl Malone*,BLK,0.2989556135770235
Kevin Garnett,BLK,0.5362924281984334
Tim Duncan,BLK,0.7885117493472584
Hakeem Olajuwon*,BLK,1.0
Jason Kidd,BLK,0.12950391644908615
Elvin Hayes*,BLK,0.46240208877284594
Moses Malone*,BLK,0.49973890339425586
Shaquille O'Neal*,BLK,0.7362924281984334
Bill Russell*,BLK,0.0
John Stockton*,BLK,0.08224543080939947
Robert Parish*,BLK,0.6164490861618799
Walt Bellamy*,BLK,0.012532637075718014
LeBron James,BLK,0.2133159268929504
Eddie Johnson,BLK,0.07362924281984334
Michael Jordan*,BLK,0.23315926892950392
Charles Barkley*,BLK,0.2318537859007833
Kobe Bryant,BLK,0.1671018276762402
Patrick Ewing*,BLK,0.7556135770234986
Wilt Chamberlain*,STL,0.0
Kareem Abdul-Jabbar*,STL,0.3552833078101072
Karl Malone*,STL,0.6385911179173047
Kevin Garnett,STL,0.5834609494640123
Tim Duncan,STL,0.31393568147013784
Hakeem Olajuwon*,STL,0.6621745788667688
Jason Kidd,STL,0.9016845329249616
Elvin Hayes*,STL,0.26462480857580395
Moses Malone*,STL,0.3540581929555896
Shaquille O'Neal*,STL,0.2361408882082695
Bill Russell*,STL,0.0
John Stockton*,STL,1.0
Robert Parish*,STL,0.37335375191424197
Walt Bellamy*,STL,0.015926493108728942
LeBron James,STL,0.5356814701378254
Eddie Johnson,STL,0.48728943338437974
Michael Jordan*,STL,0.7699846860643185
Charles Barkley*,STL,0.5047473200612558
Kobe Bryant,STL,0.5954058192955589
Patrick Ewing*,STL,0.3479326186830015
