Player,Attribute,Value
Wilt Chamberlain*,2P,1.0
Wilt Chamberlain*,3P,0.0
Wilt Chamberlain*,AST,0.0
Wilt Chamberlain*,TRB,1.0
Wilt Chamberlain*,BLK,0.0
Wilt Chamberlain*,STL,0.0
Kareem Abdul-Jabbar*,2P,0.858
Kareem Abdul-Jabbar*,3P,0.052
Kareem Abdul-Jabbar*,AST,0.0
Kareem Abdul-Jabbar*,TRB,0.68
Kareem Abdul-Jabbar*,BLK,0.83
Kareem Abdul-Jabbar*,STL,0.46
LeBron James,2P,0.71
LeBron James,3P,0.63
LeBron James,AST,0.81
LeBron James,TRB,0.46
LeBron James,BLK,0.24
LeBron James,STL,0.54
Michael Jordan*,2P,0.75
Michael Jordan*,3P,0.82
Michael Jordan*,AST,0.32
Michael Jordan*,TRB,0.37
Michael Jordan*,BLK,0.37
Michael Jordan*,STL,1.0
Kobe Bryant,2P,0.95
Kobe Bryant,3P,0.7
Kobe Bryant,AST,0.72
Kobe Bryant,TRB,0.43
Kobe Bryant,BLK,0.34
Kobe Bryant,STL,0.77
Tim Duncan,2P,0.89
Tim Duncan,3P,0.67
Tim Duncan,AST,0.12
Tim Duncan,TRB,0.59
Tim Duncan,BLK,0.79
Tim Duncan,STL,0.41
