State,Players
Alabama,80
Alaska,1
Arizona,13
Arkansas,47
California,374
Colorado,17
Connecticut,33
DC,69
Delaware,7
Florida,100
Georgia,120
Hawaii,2
Idaho,4
Illinois,227
Indiana,124
Iowa,20
Kansas,33
Kentucky,96
Louisiana,110
Maine,1
Maryland,63
Massachusetts,40
Michigan,141
Minnesota,46
Mississippi,86
Missouri,53
Montana,10
Nebraska,11
Nevada,7
New Hampshire,1
New Jersey,111
New Mexico,7
New York,314
North Carolina,112
North Dakota,6
Ohio,161
Oklahoma,35
Oregon,27
Pennsylvania,188
Rhode Island,7
South Carolina,35
South Dakota,5
Tennessee,81
Texas,155
Utah,20
Virginia,74
Washingon,53
West Virginia,24
Wisconsin,50
Wyoming,6
