State,Players,Population,Players_per_100k
Alabama,80,5157699.0,1.5510792700388294
Alaska,1,740133.0,0.13511085169827586
Arizona,13,7582384.0,0.1714500347120378
Arkansas,47,3088354.0,1.5218462650330888
California,374,39431263.0,0.9484859767235961
Colorado,17,5957493.0,0.285354930337308
Connecticut,33,3675069.0,0.8979423243481959
District of Columbia,69,702250.0,9.825560697757208
Delaware,7,1051917.0,0.665451741914999
Florida,100,23372215.0,0.4278584635645359
Georgia,120,11180878.0,1.0732609728860292
Hawaii,2,1446146.0,0.1382986226840167
Idaho,4,2001619.0,0.1998382309520443
Illinois,227,12710158.0,1.7859730775966751
Indiana,124,6924275.0,1.7908012030140341
Iowa,20,3241488.0,0.6170005873845592
Kansas,33,2970606.0,1.110884445799948
Kentucky,96,4588372.0,2.0922453541256028
Louisiana,110,4597740.0,2.392479783545829
Maine,1,1405012.0,0.07117376933435444
Maryland,63,6263220.0,1.0058723787444797
Massachusetts,40,7136171.0,0.5605246847363944
Michigan,141,10140459.0,1.3904696030031776
Minnesota,46,5793151.0,0.7940411012935792
Mississippi,86,2943045.0,2.9221435621949374
Missouri,53,6245466.0,0.8486156197151662
Montana,10,1137233.0,0.8793272794581234
Nebraska,11,2005465.0,0.5485012204152154
Nevada,7,3267467.0,0.21423322714506374
New Hampshire,1,1409032.0,0.07097070896899432
New Jersey,111,9500851.0,1.168316396078625
New Mexico,7,2130256.0,0.3285990040633614
New York,314,19867248.0,1.5804906648369215
North Carolina,112,11046024.0,1.0139394953333434
North Dakota,6,796568.0,0.7532313625453194
Ohio,161,11883304.0,1.3548420540280717
Oklahoma,35,4095393.0,0.8546188363363417
Oregon,27,4272371.0,0.6319675889570452
Pennsylvania,188,13078751.0,1.4374461292213607
Rhode Island,7,1112308.0,0.6293220942400846
South Carolina,35,5478831.0,0.6388224057285212
South Dakota,5,924669.0,0.5407340356386988
Tennessee,81,7227750.0,1.1206807097644496
Texas,155,31290831.0,0.495352776025667
Utah,20,3503613.0,0.5708393021717867
Virginia,74,8811195.0,0.8398406799531731
Washingon,53,,
West Virginia,24,1769979.0,1.3559482909119263
Wisconsin,50,5960975.0,0.8387889565045987
Wyoming,6,587618.0,1.02107151244516
